Nome Reduzido;ISPB;CNPJ
CCLA DE ITAJUBÁ - SICOOB SUDESTE MAIS;04079285;04.079.285/0001-59
CCLA DE ITAÚNA E REGIÃO LTDA;66463407;66.463.407/0001-63
CCLA DE PALMEIRAS E REGIÃO;37631058;37.631.058/0001-43
CCLA DE PERNAMBUCO - SICOOB PERNAMBUCO;03732359;03.732.359/0001-41
CCLA DE PITANGUI E REGIAO LTDA;04181542;04.181.542/0001-69
CCLA DE POMPEU LTDA.;66262643;66.262.643/0001-11
CCLA DE RIO VERDE E REGIÃO;09033698;09.033.698/0001-16
CCLA DO CENTRO SUL DE MS;10319386;10.319.386/0001-52
CCLA DO CENTRO SUL RONDONIENSE;02015588;02.015.588/0001-82
CCLA DO ESTADO DE SÃO PAULO - SICOOB PAULISTA;10262276;10.262.276/0001-00
CCLA DO ESTADO DO PARÁ - SICOOB COOESA;83836114;83.836.114/0001-01
CCLA DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE;09424988;09.424.988/0001-90
CCLA DO PLANALTO CATARINENSE;01389651;01.389.651/0001-88
CCLA DO PLANALTO SERRANO;01692448;01.692.448/0001-86
CCLA DO SUL CATARINENSE;03427097;03.427.097/0001-01
CCLA DO TOCANTINS;26960328;26.960.328/0001-43
CCLA DO VALE;86829827;86.829.827/0001-28
CCLA DO VALE DO CANOINHAS;78834975;78.834.975/0001-02
CCLA E DOS ADV;02480577;02.480.577/0001-73
CCLA EMPREG DOS CORREIOS - SICOOB COOPERCORREIOS;03862898;03.862.898/0001-03
CCLA ITAPIRANGA;78483310;78.483.310/0001-00
CCLA JATAÍ E REGIÃO;10143499;10.143.499/0001-40
CCLA LAGOA DA PRATA;01739375;01.739.375/0001-30
CCLA LESTE E NORDESTE MINEIRO;01559914;01.559.914/0001-50
CCLA MARGEM ESQUERDA DO URUCUI;14046512;14.046.512/0001-01
CCLA MEIO OESTE CATARINENSE;80959638;80.959.638/0001-93
CCLA MONTES CLAROS;02031139;02.031.139/0001-28
CCLA NOROESTE DE MG CREDIPINHO;71154876;71.154.876/0001-30
CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT;23623636;23.623.636/0001-95
CCLA NOVA SERRANA E REGIÃO CO;01667766;01.667.766/0001-97
CCLA OESTE MINEIRO LTDA-SICOOB;71297899;71.297.899/0001-02
CCLA PARA DE MINAS;01009908;01.009.908/0001-29
CCLA PEDRO LEOPOLDO;71441406;71.441.406/0001-58
CCLA PONTAL DO TRIANGULO;26178533;26.178.533/0001-51
CCLA PROD RURAIS TRIÂNGULO;41669227;41.669.227/0001-01
CCLA PROF SAÚDE UNICRED ALIANÇA;70937271;70.937.271/0001-53
CCLA REG LESTE BACIA RIO DOCE;05158093;05.158.093/0001-09
CCLA REG SUDESTE MG;42887133;42.887.133/0001-71
CCLA REG. CTR. E OESTE MINEIRO;01736516;01.736.516/0001-61
CCLA REGIÃO GUAXUPÉ;01699652;01.699.652/0001-29
CCLA RUBIATABA REGIAO;73422792;73.422.792/0001-66
CCLA SANTA CRUZ PALMEIRAS;06910457;06.910.457/0001-10
CCLA SANTO ANTONIO DO MONTE;41707258;41.707.258/0001-00
CCLA SEBASTIAO PARAISO;01657678;01.657.678/0001-04
CCLA SERV POD LEG MG - SICOOB COFAL;21797311;21.797.311/0001-01
CCLA SICOOB ARENITO PARANÁ / SÃO PAULO;07026923;07.026.923/0001-61
CCLA SICOOB COOCRELIVRE;53935029;53.935.029/0001-21
CCLA SICOOB COOPJUS;25363615;25.363.615/0001-03
CCLA SICOOB COPESITA;19875244;19.875.244/0001-46
CCLA SICOOB CREDIACIL;08795285;08.795.285/0001-06
CCLA SICOOB CREDICARU SC/RS;00694389;00.694.389/0001-12
CCLA SICOOB CREDIMEPI;01644264;01.644.264/0001-40
CCLA SICOOB CREDMISSÃO LTDA.;01667352;01.667.352/0001-68
CCLA SICOOB UNIÃO SUDESTE;07946216;07.946.216/0001-93
CCLA SICOOB UNIMAIS METROPOLITANA;00259231;00.259.231/0001-14
CCLA SICOOB VALCREDI SUL;02090126;02.090.126/0001-20
CCLA SUDOESTE GOIANO;24795049;24.795.049/0001-46
CCLA SUL CATARINENSE;81367880;81.367.880/0001-30
CCLA SUL MARANHENSE - SICOOB SUL MARANHENSE;26526166;26.526.166/0001-30
CCLA SUL MINAS-SICOOB CREDIVAS;01604998;01.604.998/0001-04
CCLA TRANSPORT RODOV VEICULOS;07789195;07.789.195/0001-40
CCLA TRÊS FRONTEIRAS;04876393;04.876.393/0001-52
CCLA UNIÃO CENTRO OESTE MINAS;01703620;01.703.620/0001-50
CCLA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA.;01060307;01.060.307/0001-40
CCLA UNIÃO E NEGÓCIOS - SICOOB INTEGRAÇÃO;08742188;08.742.188/0001-55
CCLA UNICRED DO ESTADO DE SÃO PAULO;71884498;71.884.498/0001-40
CCLA URUBICI;02587492;02.587.492/0001-99
